id,question,answer
1,入住时间是几点,标准入住时间为14:00，如需提前入住请联系前台并视房态而定。
2,最晚几点退房,标准退房时间为12:00，如需延迟请与前台沟通可能产生费用。
3,是否提供早餐,酒店提供自助早餐，时间为07:00-10:00，地点在一楼餐厅。
4,停车是否收费,住店客人可免费停车，离店后按标准收费。
5,可以加床吗,可提供加床服务，需额外收费，请在预订时备注需求。
6,可以开具发票吗,可以开具增值税普通发票，请提供发票抬头与税号。
7,是否有健身房,有，开放时间06:00-22:00。
8,是否有游泳池,当前根据检修安排开放，具体请咨询前台。
9,是否提供接机服务,可提供接机服务，需至少提前一天预约并确认费用。
10,是否可以提前入住,可根据当日房态安排，建议提前联系前台。
11,办理入住需要什么证件,需携带有效身份证件，外宾需提供有效护照。
12,是否有无烟房,有无烟楼层，可在预订时备注。
13,行李可以寄存吗,可在前台免费寄存当日行李，长时寄存请咨询。
14,是否提供叫醒服务,可通过客房电话或前台预约叫醒服务。
15,早餐可以打包吗,可，提前与餐厅说明。
16,是否提供洗衣服务,二楼东侧设有自助洗衣房，另提供付费干洗。
17,是否支持无接触入住,提供线上办理与自助机办理，具体以当日房态为准。
18,是否有亲子房,有亲子主题房，请联系前台确认房态。
19,是否有充电桩,地下车库B2层设有充电桩，住客凭房卡进出。
20,能否接待外宾,可以，按规定登记办理。
21,能否开具专票,可开具增值税专用发票，需提供完整资质。
22,押金如何收取,入住时将进行预授权，退房后自动解除。
23,是否可以免费取消订单,需参考预订条款与套餐规则。
24,发票如何索取,可在退房时至前台或通过邮件获取电子发票。
25,是否提供婴儿床,数量有限，需提前预约。
26,加早餐如何收费,以当日餐价为准，住客可享优惠。
27,是否有商务中心,一楼商务中心提供打印复印与会议室预订。
28,是否提供延迟退房,视房态可申请，可能产生半天或按小时计费。
29,是否可以带宠物,暂不接待宠物入住，敬请谅解。
30,Wi-Fi如何连接,酒店提供免费Wi-Fi，入住后获取房间专属密码。
31,可以提前入住吗,需视当日房态安排，建议提前联系前台。
32,能否开具发票,标准时间为上述说明，若需变更请咨询前台。
33,能否开具发票,需视当日房态安排，建议提前联系前台。
34,能否延迟退房,标准时间为上述说明，若需变更请咨询前台。
35,是否有亲子房,服务可能产生费用，请以当日价格为准。
36,是否有无烟房,相关设施位置与开放时间以酒店公告为准。
37,能否延迟退房,服务可能产生费用，请以当日价格为准。
38,是否可叫醒服务,服务可能产生费用，请以当日价格为准。
39,是否有亲子房,服务可能产生费用，请以当日价格为准。
40,是否有无烟房,需视当日房态安排，建议提前联系前台。
41,可以提前入住吗,标准时间为上述说明，若需变更请咨询前台。
42,可否加床,相关设施位置与开放时间以酒店公告为准。
43,早餐时间是几点,服务可能产生费用，请以当日价格为准。
44,是否可叫醒服务,相关设施位置与开放时间以酒店公告为准。
45,是否提供接机,标准时间为上述说明，若需变更请咨询前台。
